IID	FID	SUPERPOP	DATASET	ASSAY	BUILD
HG03887	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03888	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03890	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03894	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03895	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03896	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03897	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03898	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03900	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03902	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03904	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03905	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03907	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03908	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03910	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03911	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03913	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03914	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03916	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03917	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03919	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03920	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03922	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03925	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03926	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03928	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03929	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03931	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03934	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03937	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03940	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03941	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03943	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03944	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03945	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03947	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03949	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03950	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03951	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03953	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03955	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03960	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03963	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03965	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03967	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03968	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03969	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03971	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03973	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03974	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03976	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03977	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03978	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03985	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03986	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03989	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03990	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03991	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03995	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG03999	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04001	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04002	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04003	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04006	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04014	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04015	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04017	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04018	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04019	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04020	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04022	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04023	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04025	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04026	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04029	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04033	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04035	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04038	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04039	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04042	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04047	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04054	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04056	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04059	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04060	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04061	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04062	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04063	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04070	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04075	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04076	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04080	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04090	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04093	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04094	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04096	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04098	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04099	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04100	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04106	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04107	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04118	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04127	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04131	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04132	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04134	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04135	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04140	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04141	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04144	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04146	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04147	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04149	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04150	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04152	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04153	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04155	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04156	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04158	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04159	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04161	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04162	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04164	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04171	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04173	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04174	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04176	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04177	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04180	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04182	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04183	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04185	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04186	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04188	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04189	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04191	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04192	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04194	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04195	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04198	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04200	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04202	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04206	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04209	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04210	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04211	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04212	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04214	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04216	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04219	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04222	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04225	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04227	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04229	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
HG04235	NA	SAS	1000g_phase3_wgs	WGS	GRCh38
