IID	FID	SUPERPOP	DATASET	ASSAY	BUILD
HG03267	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03268	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03270	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03271	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03279	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03280	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03291	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03294	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03295	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03297	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03298	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03300	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03301	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03303	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03304	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03306	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03307	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03309	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03311	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03312	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03313	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03342	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03343	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03351	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03352	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03354	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03363	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03366	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03367	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03369	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03370	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03372	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03373	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03376	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03378	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03380	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03382	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03385	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03388	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03391	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03394	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03397	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03401	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03410	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03419	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03428	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03432	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03433	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03436	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03437	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03439	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03442	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03445	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03446	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03449	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03451	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03452	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03454	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03455	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
