IID	FID	SUPERPOP	DATASET	ASSAY	BUILD
HG01779	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01781	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01783	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01784	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01785	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01786	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01789	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01790	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG01791	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG02215	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG02219	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG02220	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG02221	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG02223	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG02224	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG02230	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG02231	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG02232	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG02233	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG02235	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG02236	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG02238	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
HG02239	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA06984	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA06985	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA06986	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA06989	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA06993	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA06994	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
