IID	FID	SUPERPOP	DATASET	ASSAY	BUILD
HG02390	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02391	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02392	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02394	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02395	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02396	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02397	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02398	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02399	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02401	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02402	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02406	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02407	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02408	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02409	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02410	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02512	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02513	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02521	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02522	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02524	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
HG02525	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18525	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18526	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18528	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18530	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18531	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18532	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18533	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18534	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18535	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18536	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18537	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18538	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18539	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18541	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18542	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18543	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18544	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18545	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18546	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18547	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18548	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18549	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18550	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18552	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18553	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18555	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18557	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18558	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18559	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18560	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18561	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18562	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18563	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18564	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18565	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18566	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18567	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18570	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18571	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18572	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18573	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18574	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18577	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18579	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18582	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18591	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18592	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18593	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18595	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18596	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18597	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18599	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18602	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18603	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18605	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18606	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18608	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18609	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18610	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18611	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18612	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18613	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18614	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18615	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
