IID	FID	SUPERPOP	DATASET	ASSAY	BUILD
HG01936	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01938	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01939	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01941	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01942	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01944	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01945	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01947	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01948	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01950	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01951	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01953	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01954	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01961	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01965	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01967	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01968	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01970	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01971	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01973	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01974	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01976	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01977	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01979	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01980	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01982	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01983	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01991	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01992	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG01997	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02002	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02003	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02006	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02008	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02089	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02090	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02102	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02104	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02105	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02146	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02147	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02150	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02252	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02253	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02259	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02260	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02262	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02265	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02266	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02271	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02272	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02274	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02275	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02277	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02278	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02285	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02286	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02291	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02292	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02298	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02299	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02301	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02304	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02312	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02345	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02348	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HG02425	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19648	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19649	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19651	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19652	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19654	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19655	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19657	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19658	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19662	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19663	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19664	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19669	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19670	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19676	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19678	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19679	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19681	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19682	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19684	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19716	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19717	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19719	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19720	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19722	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19723	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19725	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19726	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19728	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19729	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19731	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19732	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19734	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19735	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19740	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19741	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19746	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19747	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19749	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19750	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19752	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19755	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19756	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19758	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19759	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19761	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19762	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19764	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19770	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19771	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19773	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19774	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19776	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19777	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19779	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19780	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19782	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19783	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19785	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19786	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19788	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19789	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19792	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19794	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
NA19795	NA	AMR	1000g_phase3_wgs	WGS	GRCh38
HGDP00845	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00703	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP01050	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP01009	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP01013	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00856	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00710	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00837	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP01043	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00843	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00877	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP01037	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00868	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00970	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00870	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00863	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00858	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP01001	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00873	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP01041	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00999	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00704	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00708	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00869	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00995	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00876	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00854	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00875	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP01056	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP01058	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00832	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP01060	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00859	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00872	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP01059	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00860	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00861	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP01019	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP01055	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP01010	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP01014	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00871	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00862	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00864	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP01057	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
HGDP00865	NA	AMR	hgdp_highcov_wgs	WGS	GRCh38
